AgentType,TotalOrders,AvgAbsSlippage,NetSlippage,MaxAbsSlippage,PctIn,PctOut,AvgTime,FinalPctProfit,SlipAdjPctProfit
HeuristicBeliefLearningAgent,15,0.0,0,0,100,0,0.230579,-0.00541,-0.00541
HeuristicBeliefLearningAgent,20,0.0,0,0,100,0,0.31504,-0.0042,-0.0042
HeuristicBeliefLearningAgent,14,0.0,0,0,100,0,0.552703,-0.00277,-0.00277
HeuristicBeliefLearningAgent,14,0.0,0,0,100,0,0.226634,0.00454,0.00454
HeuristicBeliefLearningAgent,14,0.0,0,0,100,0,0.505116,-0.00248,-0.00248
HeuristicBeliefLearningAgent,14,0.0,0,0,100,0,0.007196,-0.00385,-0.00385
HeuristicBeliefLearningAgent,6,0.0,0,0,100,0,0.007983,0.00067,0.00067
HeuristicBeliefLearningAgent,9,0.0,0,0,100,0,0.340214,-0.00072,-0.00072
HeuristicBeliefLearningAgent,20,0.0,0,0,100,0,0.339342,0.0006,0.0006
HeuristicBeliefLearningAgent,15,0.0,0,0,100,0,0.191161,-0.00027,-0.00027
HeuristicBeliefLearningAgent,14,0.0,0,0,100,0,0.004725,-0.00935,-0.00935
HeuristicBeliefLearningAgent,11,0.0,0,0,100,0,0.007569,-0.00207,-0.00207
RetailExecutionAgent,16,0.0625,-1,1,93,6,2.000783,-1.60204,-1.60256
RetailExecutionAgent,12,0.08333333333333333,-1,1,91,8,2.00231,-0.84944,-0.84991
RetailExecutionAgent,19,0.05263157894736842,-1,1,94,5,2.005916,-1.87035,-1.87073
RetailExecutionAgent,24,0.041666666666666664,-1,1,95,4,2.004792,-0.41592,-0.41628
RetailExecutionAgent,19,0.10526315789473684,0,1,94,5,2.001257,-1.81071,-1.81071
RetailExecutionAgent,26,0.0,0,0,100,0,2.004439,0.13939,0.13939
RetailExecutionAgent,21,0.09523809523809523,0,1,95,4,2.006157,-3.50094,-3.50094
RetailExecutionAgent,26,1.1538461538461537,30,10,100,0,2.008271,1.52311,1.53468
RetailExecutionAgent,28,0.03571428571428571,1,1,100,0,2.012192,2.31907,2.31946
RetailExecutionAgent,21,0.47619047619047616,10,10,100,0,2.012119,-2.89418,-2.88999
RetailExecutionAgent,27,0.37037037037037035,10,10,100,0,2.0122,-1.66599,-1.66176
RetailExecutionAgent,12,0.08333333333333333,-1,1,91,8,2.009535,-3.31705,-3.31749
RetailExecutionAgent,16,1.25,0,10,93,6,2.011274,-0.37322,-0.37322
RetailExecutionAgent,19,0.5789473684210527,9,10,94,5,2.005573,-3.21898,-3.21509
