AgentType,TotalOrders,AvgAbsSlippage,NetSlippage,MaxAbsSlippage,PctIn,PctOut,AvgTime,FinalPctProfit,SlipAdjPctProfit
HeuristicBeliefLearningAgent,13.7,0.0,0.0,0.0,100.0,0.0,0.39226690000000003,-0.0006007142857142858,-0.0006007142857142858
RetailExecutionAgent,21.966666666666665,0.48631731507950104,2.3666666666666667,8.2,95.8,3.6666666666666665,2.006039266666667,-0.8395886666666665,-0.8385753333333333
